Competidor,Fecha,Producto1,Tipo
Competidor2,30/01/22,34924604.5,Hist—rico
Competidor2,06/02/22,35801471.5,Hist—rico
Competidor2,13/02/22,36382186,Hist—rico
Competidor2,20/02/22,37123804,Hist—rico
Competidor2,27/02/22,36109335.5,Hist—rico
Competidor2,03/03/22,37930595.5,Hist—rico
Competidor2,06/03/22,38352576.6,Hist—rico
Competidor2,13/03/22,36998516.5,Hist—rico
Competidor2,20/03/22,36486642.5,Hist—rico
Competidor2,27/03/22,37801015.5,Hist—rico
Competidor2,01/04/22,38060121.5,Hist—rico
Competidor2,10/04/22,38301684.5,Hist—rico
Competidor2,17/04/22,37199508.5,Hist—rico
Competidor2,24/04/22,37747067.5,Hist—rico
Competidor2,08/05/22,38826079.5,Hist—rico
Competidor3,06/01/19,3792128,Hist—rico
Competidor3,13/01/19,2568676,Hist—rico
Competidor3,20/01/19,2644847,Hist—rico
Competidor3,27/01/19,2782482,Hist—rico
Competidor3,03/02/19,3741709,Hist—rico
Competidor3,10/02/19,3687972,Hist—rico
Competidor3,17/02/19,2421020,Hist—rico
Competidor3,24/02/19,2730717,Hist—rico
Competidor3,03/03/19,2904549,Hist—rico
Competidor3,10/03/19,3180979,Hist—rico
Competidor3,17/03/19,4005906,Hist—rico
Competidor3,24/03/19,3965916,Hist—rico
Competidor3,31/03/19,2425668,Hist—rico
Competidor3,07/04/19,2755858,Hist—rico
Competidor3,14/04/19,2913541,Hist—rico
Competidor3,21/04/19,3498200,Hist—rico
Competidor3,28/04/19,4079367,Hist—rico
Competidor3,05/05/19,2647569,Hist—rico
Competidor3,12/05/19,2935113,Hist—rico
Competidor3,19/05/19,3571967,Hist—rico
Competidor3,26/05/19,4060400,Hist—rico
Competidor3,02/06/19,3162240,Hist—rico
Competidor3,09/06/19,4773710,Hist—rico
Competidor3,16/06/19,2710606,Hist—rico
Competidor3,23/06/19,3415475,Hist—rico
Competidor3,30/06/19,2760953,Hist—rico
Competidor3,07/07/19,3819778,Hist—rico
Competidor3,14/07/19,2555839,Hist—rico
Competidor3,21/07/19,3399245,Hist—rico
Competidor3,28/07/19,3589220,Hist—rico
Competidor3,04/08/19,2561032,Hist—rico
Competidor3,11/08/19,3073468,Hist—rico
Competidor3,18/08/19,3852066,Hist—rico
Competidor3,25/08/19,3842696,Hist—rico
Competidor3,01/09/19,2587591,Hist—rico
Competidor3,08/09/19,2887511,Hist—rico
Competidor3,15/09/19,3978492,Hist—rico
Competidor3,22/09/19,3976207,Hist—rico
Competidor3,29/09/19,2224183,Hist—rico
Competidor3,06/10/19,2672494,Hist—rico
Competidor3,13/10/19,3002833,Hist—rico
Competidor3,20/10/19,3502937,Hist—rico
Competidor3,27/10/19,3805619,Hist—rico
Competidor3,03/11/19,2350624,Hist—rico
Competidor3,10/11/19,2556349,Hist—rico
Competidor3,17/11/19,3286792,Hist—rico
Competidor3,24/11/19,3759500,Hist—rico
Competidor3,01/12/19,2371004,Hist—rico
Competidor3,08/12/19,2552638,Hist—rico
Competidor3,15/12/19,3046013,Hist—rico
Competidor3,22/12/19,4580066,Hist—rico
Competidor3,29/12/19,2418493,Hist—rico
Competidor3,05/01/20,3047532,Hist—rico
Competidor3,12/01/20,2116845,Hist—rico
Competidor3,19/01/20,2808484,Hist—rico
Competidor3,26/01/20,3031486,Hist—rico
Competidor3,02/02/20,2077866,Hist—rico
Competidor3,09/02/20,2498398,Hist—rico
Competidor3,16/02/20,3458275,Hist—rico
Competidor3,23/02/20,3411778,Hist—rico
Competidor3,01/03/20,2231294,Hist—rico
Competidor3,08/03/20,2532585,Hist—rico
